trial_index,selected,architecture,seed,credibility_features,hidden_size,num_layers,dropout,head_hidden_size,epochs_requested,epochs_completed,learning_rate,batch_size,validation_split,best_epoch,weight_decay,target_mode,text_encoder,text_adapter_dim,text_embedding_dim,text_pool_lambda_inv_days,combined_rmse,loss,close_rmse,volatility_rmse,train_combined_rmse,train_close_rmse,train_volatility_rmse,train_loss,val_combined_rmse,val_close_rmse,val_volatility_rmse,test_combined_rmse,test_close_rmse,test_volatility_rmse,fold_id,protocol,checkpoint_saved,checkpoint_path,hp_combo_id
27,False,tcn,29,False,128,3,0.2,32,40,10,0.001,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.0720307341328374,inf,inf,inf,inf,inf,0.8435051196592825,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
28,False,tcn,29,False,128,3,0.2,32,40,11,0.001,64,0.2,3,0.0001,real,,0,0,30.0,inf,1.0711816214433116,inf,inf,inf,inf,inf,0.7827467792422069,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
29,False,tcn,29,False,256,3,0.1,32,40,17,0.0003,64,0.2,9,0.0,real,,0,0,30.0,inf,1.1849654200382793,inf,inf,inf,inf,inf,0.7480527655781063,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
30,False,tcn,29,False,256,3,0.1,32,40,9,0.0003,64,0.2,1,0.0,real,,0,0,30.0,inf,0.7331105561943742,inf,inf,inf,inf,inf,0.8833426462925547,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
31,False,tcn,29,False,256,3,0.1,32,40,10,0.0003,64,0.2,2,0.0,real,,0,0,30.0,inf,1.1405367762954146,inf,inf,inf,inf,inf,0.8552401994775842,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
32,False,tcn,29,False,256,3,0.1,32,40,15,0.0003,64,0.2,7,0.0,real,,0,0,30.0,inf,1.1902642149334062,inf,inf,inf,inf,inf,0.7255247158080275,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
33,False,tcn,29,False,256,2,0.1,32,40,11,0.0003,64,0.2,3,0.0001,real,,0,0,30.0,inf,1.11374496793904,inf,inf,inf,inf,inf,0.8340594431844628,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
34,False,tcn,29,False,256,2,0.1,32,40,9,0.0003,64,0.2,1,0.0001,real,,0,0,30.0,inf,0.7330285804765718,inf,inf,inf,inf,inf,0.8833411635422125,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
35,False,tcn,29,False,256,2,0.1,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,1.1405120072541413,inf,inf,inf,inf,inf,0.8552082442354273,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
36,False,tcn,29,False,256,2,0.1,32,40,15,0.0003,64,0.2,7,0.0001,real,,0,0,30.0,inf,1.1909666855903032,inf,inf,inf,inf,inf,0.7273141736767152,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
37,False,tcn,29,False,128,3,0.1,32,40,16,0.0003,64,0.2,8,0.0,real,,0,0,30.0,inf,1.1250661957551475,inf,inf,inf,inf,inf,0.788080468097022,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
38,False,tcn,29,False,128,3,0.1,32,40,9,0.0003,64,0.2,1,0.0,real,,0,0,30.0,inf,0.80154938848169,inf,inf,inf,inf,inf,0.933291690136359,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
39,False,tcn,29,False,128,3,0.1,32,40,16,0.0003,64,0.2,8,0.0,real,,0,0,30.0,inf,1.097453033482587,inf,inf,inf,inf,inf,0.7971305846284937,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
40,False,tcn,29,False,128,3,0.1,32,40,12,0.0003,64,0.2,4,0.0,real,,0,0,30.0,inf,1.0355532151893232,inf,inf,inf,inf,inf,0.815249822723843,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,8
41,False,tcn,47,False,256,3,0.2,32,40,18,0.0003,64,0.2,10,0.0001,real,,0,0,30.0,inf,1.1690044018486725,inf,inf,inf,inf,inf,0.7438498699317999,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
42,False,tcn,47,False,256,3,0.2,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,0.6170524194970861,inf,inf,inf,inf,inf,0.838425046544734,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
43,False,tcn,47,False,256,3,0.2,32,40,12,0.0003,64,0.2,4,0.0001,real,,0,0,30.0,inf,1.0181653874891776,inf,inf,inf,inf,inf,0.8187324544235512,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
44,False,tcn,47,False,256,3,0.2,32,40,12,0.0003,64,0.2,4,0.0001,real,,0,0,30.0,inf,1.048445168840315,inf,inf,inf,inf,inf,0.7989844910690548,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,29
45,False,tcn,47,False,128,3,0.2,32,40,11,0.001,64,0.2,3,0.0001,real,,0,0,30.0,inf,1.1566620790816438,inf,inf,inf,inf,inf,0.8083107730760141,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
46,False,tcn,47,False,128,3,0.2,32,40,21,0.001,64,0.2,13,0.0001,real,,0,0,30.0,inf,0.5971665232031195,inf,inf,inf,inf,inf,0.6621013354964372,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
47,False,tcn,47,False,128,3,0.2,32,40,14,0.001,64,0.2,6,0.0001,real,,0,0,30.0,inf,1.1530242540218212,inf,inf,inf,inf,inf,0.7548288500750506,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
48,False,tcn,47,False,128,3,0.2,32,40,12,0.001,64,0.2,4,0.0001,real,,0,0,30.0,inf,1.0937233278045593,inf,inf,inf,inf,inf,0.7776411639503816,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,15
49,False,tcn,47,False,256,3,0.1,32,40,18,0.0003,64,0.2,10,0.0,real,,0,0,30.0,inf,1.1761187656212615,inf,inf,inf,inf,inf,0.7280963377576214,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
50,False,tcn,47,False,256,3,0.1,32,40,10,0.0003,64,0.2,2,0.0,real,,0,0,30.0,inf,0.6294771467780208,inf,inf,inf,inf,inf,0.8322730123996734,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
51,False,tcn,47,False,256,3,0.1,32,40,29,0.0003,64,0.2,21,0.0,real,,0,0,30.0,inf,1.5722796298839428,inf,inf,inf,inf,inf,0.5599136902667858,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
52,False,tcn,47,False,256,3,0.1,32,40,12,0.0003,64,0.2,4,0.0,real,,0,0,30.0,inf,1.0521135797749381,inf,inf,inf,inf,inf,0.7855637447635992,inf,inf,inf,inf,inf,inf,wf_fold_4,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,24
53,False,tcn,47,False,256,2,0.1,32,40,18,0.0003,64,0.2,10,0.0001,real,,0,0,30.0,inf,1.177207789231015,inf,inf,inf,inf,inf,0.727711604636498,inf,inf,inf,inf,inf,inf,wf_fold_1,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
54,False,tcn,47,False,256,2,0.1,32,40,10,0.0003,64,0.2,2,0.0001,real,,0,0,30.0,inf,0.6289304811675269,inf,inf,inf,inf,inf,0.8323728920967598,inf,inf,inf,inf,inf,inf,wf_fold_2,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
55,False,tcn,47,False,256,2,0.1,32,40,24,0.0003,64,0.2,16,0.0001,real,,0,0,30.0,inf,1.3864200909932454,inf,inf,inf,inf,inf,0.6280401896547388,inf,inf,inf,inf,inf,inf,wf_fold_3,walk-forward,False,/root/fed-pulse/backend/models/forecaster_best.pt,17
